
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.1.4)
2023-11-22T15:24:55.511Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Character -> org.hibernate.type.BasicTypeReference@5652f555
2023-11-22T15:24:55.511Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration character_nchar -> org.hibernate.type.BasicTypeReference@4fe01805
2023-11-22T15:24:55.511Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration string -> org.hibernate.type.BasicTypeReference@55120f99
2023-11-22T15:24:55.511Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.String -> org.hibernate.type.BasicTypeReference@55120f99
2023-11-22T15:24:55.511Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration nstring -> org.hibernate.type.BasicTypeReference@794b435f
2023-11-22T15:24:55.511Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration characters -> org.hibernate.type.BasicTypeReference@38f2e97e
2023-11-22T15:24:55.511Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration char[] -> org.hibernate.type.BasicTypeReference@38f2e97e
2023-11-22T15:24:55.511Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration [C -> org.hibernate.type.BasicTypeReference@38f2e97e
2023-11-22T15:24:55.512Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration wrapper-characters -> org.hibernate.type.BasicTypeReference@779dfe55
2023-11-22T15:24:55.512Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration text -> org.hibernate.type.BasicTypeReference@323659f8
2023-11-22T15:24:55.512Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration ntext -> org.hibernate.type.BasicTypeReference@1144a55a
2023-11-22T15:24:55.512Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration clob -> org.hibernate.type.BasicTypeReference@3e521715
2023-11-22T15:24:55.512Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Clob -> org.hibernate.type.BasicTypeReference@3e521715
2023-11-22T15:24:55.512Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration nclob -> org.hibernate.type.BasicTypeReference@26a529dc
2023-11-22T15:24:55.512Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.NClob -> org.hibernate.type.BasicTypeReference@26a529dc
2023-11-22T15:24:55.512Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_clob -> org.hibernate.type.BasicTypeReference@265c5d69
2023-11-22T15:24:55.512Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_clob_char_array -> org.hibernate.type.BasicTypeReference@1286528d
2023-11-22T15:24:55.512Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_clob_character_array -> org.hibernate.type.BasicTypeReference@3cc20577
2023-11-22T15:24:55.512Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_nclob -> org.hibernate.type.BasicTypeReference@33a630fa
2023-11-22T15:24:55.512Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_nclob_character_array -> org.hibernate.type.BasicTypeReference@775594f2
2023-11-22T15:24:55.512Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration materialized_nclob_char_array -> org.hibernate.type.BasicTypeReference@5767b2af
2023-11-22T15:24:55.513Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration Duration -> org.hibernate.type.BasicTypeReference@7b22ec89
2023-11-22T15:24:55.513Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.Duration -> org.hibernate.type.BasicTypeReference@7b22ec89
2023-11-22T15:24:55.513Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration LocalDateTime -> org.hibernate.type.BasicTypeReference@790132f7
2023-11-22T15:24:55.513Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.LocalDateTime -> org.hibernate.type.BasicTypeReference@790132f7
2023-11-22T15:24:55.513Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration LocalDate -> org.hibernate.type.BasicTypeReference@2228db21
2023-11-22T15:24:55.513Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.LocalDate -> org.hibernate.type.BasicTypeReference@2228db21
2023-11-22T15:24:55.513Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration LocalTime -> org.hibernate.type.BasicTypeReference@48b0e701
2023-11-22T15:24:55.513Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.LocalTime -> org.hibernate.type.BasicTypeReference@48b0e701
2023-11-22T15:24:55.513Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetDateTime -> org.hibernate.type.BasicTypeReference@241a0c3a
2023-11-22T15:24:55.513Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.OffsetDateTime -> org.hibernate.type.BasicTypeReference@241a0c3a
2023-11-22T15:24:55.513Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@547c04c4
2023-11-22T15:24:55.513Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@30e92cb9
2023-11-22T15:24:55.513Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetTime -> org.hibernate.type.BasicTypeReference@7fae4d4a
2023-11-22T15:24:55.514Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.OffsetTime -> org.hibernate.type.BasicTypeReference@7fae4d4a
2023-11-22T15:24:55.514Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetTimeUtc -> org.hibernate.type.BasicTypeReference@ba1f559
2023-11-22T15:24:55.514Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetTimeWithTimezone -> org.hibernate.type.BasicTypeReference@3f4f9acd
2023-11-22T15:24:55.519Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@46baf579
2023-11-22T15:24:55.519Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration ZonedDateTime -> org.hibernate.type.BasicTypeReference@4bf324f9
2023-11-22T15:24:55.519Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.ZonedDateTime -> org.hibernate.type.BasicTypeReference@4bf324f9
2023-11-22T15:24:55.519Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration ZonedDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@4f7c0be3
2023-11-22T15:24:55.519Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration ZonedDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@ca66933
2023-11-22T15:24:55.519Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration date -> org.hibernate.type.BasicTypeReference@1d2644e3
2023-11-22T15:24:55.519Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Date -> org.hibernate.type.BasicTypeReference@1d2644e3
2023-11-22T15:24:55.520Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration time -> org.hibernate.type.BasicTypeReference@4fa06f52
2023-11-22T15:24:55.520Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Time -> org.hibernate.type.BasicTypeReference@4fa06f52
2023-11-22T15:24:55.520Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration timestamp -> org.hibernate.type.BasicTypeReference@602c4656
2023-11-22T15:24:55.520Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Timestamp -> org.hibernate.type.BasicTypeReference@602c4656
